Node 17, start at 477, n: 5, c:5
Node 18, start at 550, n: 5, c:5
Node 19, start at 674, n: 5, c:5
Node 20, start at 747, n: 5, c:5
Node 0, start at 629, n: 13, c:13
Node 1, start at 541, n: 3, c:3
Node 2, start at 325, n: 3, c:3
Node 3, start at 218, n: 13, c:13
Node 4, start at 759, n: 3, c:3
Node 5, start at 311, n: 5, c:5
Node 6, start at 870, n: 3, c:3
Node 7, start at 538, n: 13, c:13
Node 8, start at 873, n: 11, c:11
Node 9, start at 798, n: 5, c:5
Node 10, start at 508, n: 7, c:7
Node 11, start at 128, n: 5, c:5
Node 12, start at 797, n: 7, c:7
Node 13, start at 947, n: 5, c:5
Node 14, start at 409, n: 11, c:11
Node 15, start at 605, n: 7, c:7
Node 16, start at 348, n: 3, c:3
Node 17, start at 193, n: 13, c:13
Node 18, start at 86, n: 5, c:5
Node 19, start at 487, n: 7, c:7
Node 20, start at 372, n: 11, c:11
Node 0, start at 629, n: 5, c:5
Node 1, start at 541, n: 5, c:5
Node 2, start at 325, n: 5, c:5
Node 3, start at 218, n: 5, c:5
Node 4, start at 759, n: 5, c:5
Node 5, start at 311, n: 5, c:5
Node 6, start at 870, n: 5, c:5
Node 7, start at 538, n: 5, c:5
Node 8, start at 873, n: 5, c:5
Node 9, start at 798, n: 5, c:5
Node 10, start at 508, n: 5, c:5
Node 11, start at 128, n: 5, c:5
Node 12, start at 797, n: 5, c:5
Node 13, start at 947, n: 5, c:5
Node 14, start at 409, n: 5, c:5
Node 15, start at 605, n: 5, c:5
Node 16, start at 348, n: 5, c:5
Node 17, start at 193, n: 5, c:5
Node 18, start at 86, n: 5, c:5
Node 19, start at 487, n: 5, c:5
Node 20, start at 372, n: 5, c:5
Node 0, start at 633, n: 13, c:13
Node 1, start at 41, n: 5, c:5
Node 2, start at 496, n: 13, c:13
Node 3, start at 23, n: 5, c:5
Node 4, start at 881, n: 5, c:5
Node 5, start at 42, n: 5, c:5
Node 6, start at 916, n: 5, c:5
Node 7, start at 682, n: 5, c:5
Node 8, start at 665, n: 5, c:5
Node 9, start at 131, n: 5, c:5
Node 10, start at 634, n: 5, c:5
Node 11, start at 314, n: 5, c:5
Node 12, start at 233, n: 5, c:5
