Node 20, start at 985, anchor: 7
Node 0, start at 863, anchor: 7
Node 1, start at 224, anchor: 7
Node 2, start at 881, anchor: 7
Node 3, start at 340, anchor: 7
Node 4, start at 189, anchor: 7
Node 5, start at 170, anchor: 7
Node 6, start at 895, anchor: 7
Node 7, start at 333, anchor: 7
Node 8, start at 566, anchor: 7
Node 9, start at 995, anchor: 7
Node 10, start at 744, anchor: 7
Node 11, start at 642, anchor: 7
Node 12, start at 873, anchor: 7
Node 13, start at 45, anchor: 7
Node 14, start at 143, anchor: 7
Node 15, start at 223, anchor: 7
Node 16, start at 189, anchor: 7
Node 17, start at 639, anchor: 7
Node 18, start at 914, anchor: 7
Node 19, start at 26, anchor: 7
Node 20, start at 985, anchor: 7
Node 0, start at 600, anchor: 7
Node 1, start at 254, anchor: 19
Node 2, start at 480, anchor: 5
Node 3, start at 669, anchor: 7
Node 4, start at 893, anchor: 5
Node 5, start at 460, anchor: 5
Node 6, start at 774, anchor: 19
Node 7, start at 770, anchor: 7
Node 8, start at 259, anchor: 5
Node 9, start at 570, anchor: 3
Node 10, start at 241, anchor: 13
Node 11, start at 585, anchor: 7
Node 12, start at 375, anchor: 19
Node 13, start at 86, anchor: 19
Node 14, start at 89, anchor: 7
Node 15, start at 939, anchor: 7
Node 16, start at 97, anchor: 19
Node 17, start at 317, anchor: 13
Node 18, start at 471, anchor: 13
Node 19, start at 578, anchor: 13
Node 20, start at 722, anchor: 5
Node 0, start at 600, anchor: 19
Node 1, start at 254, anchor: 19
Node 2, start at 480, anchor: 19
Node 3, start at 669, anchor: 19
Node 4, start at 893, anchor: 19
Node 5, start at 460, anchor: 19
Node 6, start at 774, anchor: 19
Node 7, start at 770, anchor: 19
Node 8, start at 259, anchor: 19
Node 9, start at 570, anchor: 19
Node 10, start at 241, anchor: 19
Node 11, start at 585, anchor: 19
Node 12, start at 375, anchor: 19
Node 13, start at 86, anchor: 19
Node 14, start at 89, anchor: 19
Node 15, start at 939, anchor: 19
Node 16, start at 97, anchor: 19
Node 17, start at 317, anchor: 19
Node 18, start at 471, anchor: 19
Node 19, start at 578, anchor: 19
Node 20, start at 722, anchor: 19
Node 0, start at 911, anchor: 5
Node 1, start at 149, anchor: 5
Node 2, start at 960, anchor: 11
Node 3, start at 193, anchor: 3
Node 4, start at 333, anchor: 5
Node 5, start at 685, anchor: 5
Node 6, start at 646, anchor: 11
Node 7, start at 263, anchor: 7
Node 8, start at 237, anchor: 5
Node 9, start at 580, anchor: 13
Node 10, start at 449, anchor: 5
Node 11, start at 785, anchor: 19
Node 12, start at 439, anchor: 5
Node 13, start at 232, anchor: 11
Node 14, start at 176, anchor: 13
Node 15, start at 411, anchor: 5
Node 16, start at 647, anchor: 11
Node 17, start at 35, anchor: 7
Node 18, start at 556, anchor: 5
Node 19, start at 223, anchor: 5
Node 20, start at 457, anchor: 3
Node 0, start at 911, anchor: 19
Node 1, start at 149, anchor: 19
Node 2, start at 960, anchor: 19
Node 3, start at 193, anchor: 19
Node 4, start at 333, anchor: 19
Node 5, start at 685, anchor: 19
Node 6, start at 646, anchor: 19
Node 7, start at 263, anchor: 19
Node 8, start at 237, anchor: 19
Node 9, start at 580, anchor: 19
Node 10, start at 449, anchor: 19
Node 11, start at 785, anchor: 19
Node 12, start at 439, anchor: 19
Node 13, start at 232, anchor: 19
Node 14, start at 176, anchor: 19
Node 15, start at 411, anchor: 19
Node 16, start at 647, anchor: 19
Node 17, start at 35, anchor: 19
Node 18, start at 556, anchor: 19
Node 19, start at 223, anchor: 19
Node 20, start at 457, anchor: 19
Node 0, start at 892, anchor: 5
Node 1, start at 573, anchor: 3
Node 2, start at 220, anchor: 5
Node 3, start at 855, anchor: 5
Node 4, start at 983, anchor: 5
Node 5, start at 17, anchor: 7
Node 6, start at 368, anchor: 11
Node 7, start at 798, anchor: 5
Node 8, start at 177, anchor: 3
Node 9, start at 452, anchor: 7
Node 10, start at 507, anchor: 5
Node 11, start at 857, anchor: 11
Node 12, start at 436, anchor: 5
Node 13, start at 200, anchor: 3
Node 14, start at 425, anchor: 11
Node 15, start at 938, anchor: 19
Node 16, start at 123, anchor: 5
Node 17, start at 396, anchor: 11
Node 18, start at 13, anchor: 13
Node 19, start at 512, anchor: 11
Node 20, start at 406, anchor: 5
Node 0, start at 892, anchor: 11
Node 1, start at 573, anchor: 11
Node 2, start at 220, anchor: 11
Node 3, start at 855, anchor: 11
Node 4, start at 983, anchor: 11
Node 5, start at 17, anchor: 11
Node 6, start at 368, anchor: 11
Node 7, start at 798, anchor: 11
Node 8, start at 177, anchor: 11
Node 9, start at 452, anchor: 11
Node 10, start at 507, anchor: 11
Node 11, start at 857, anchor: 11
Node 12, start at 436, anchor: 11
Node 13, start at 200, anchor: 11
Node 14, start at 425, anchor: 11
Node 15, start at 938, anchor: 11
Node 16, start at 123, anchor: 11
Node 17, start at 396, anchor: 11
Node 18, start at 13, anchor: 11
Node 19, start at 512, anchor: 11
Node 20, start at 406, anchor: 11
Node 0, start at 783, anchor: 7
Node 1, start at 260, anchor: 13
Node 2, start at 849, anchor: 3
Node 3, start at 411, anchor: 5
Node 4, start at 940, anchor: 3
Node 5, start at 569, anchor: 13
Node 6, start at 858, anchor: 5
Node 7, start at 481, anchor: 19
Node 8, start at 798, anchor: 3
Node 9, start at 821, anchor: 5
Node 10, start at 851, anchor: 3
Node 11, start at 780, anchor: 5
Node 12, start at 860, anchor: 5
Node 13, start at 132, anchor: 13
Node 14, start at 579, anchor: 7
Node 15, start at 603, anchor: 5
Node 16, start at 505, anchor: 3
Node 17, start at 260, anchor: 7
Node 18, start at 163, anchor: 3
Node 19, start at 655, anchor: 11
Node 20, start at 917, anchor: 13
Node 0, start at 783, anchor: 11
Node 1, start at 260, anchor: 11
Node 2, start at 849, anchor: 11
Node 3, start at 411, anchor: 11
Node 4, start at 940, anchor: 11
Node 5, start at 569, anchor: 11
Node 6, start at 858, anchor: 11
Node 7, start at 481, anchor: 11
Node 8, start at 798, anchor: 11
Node 9, start at 821, anchor: 11
Node 10, start at 851, anchor: 11
Node 11, start at 780, anchor: 11
Node 12, start at 860, anchor: 11
Node 13, start at 132, anchor: 11
Node 14, start at 579, anchor: 11
Node 15, start at 603, anchor: 11
Node 16, start at 505, anchor: 11
Node 17, start at 260, anchor: 11
Node 18, start at 163, anchor: 11
Node 19, start at 655, anchor: 11
Node 20, start at 917, anchor: 11
Node 0, start at 822, anchor: 5
Node 1, start at 116, anchor: 19
Node 2, start at 444, anchor: 7
Node 3, start at 960, anchor: 19
Node 4, start at 158, anchor: 7
Node 5, start at 395, anchor: 19
Node 6, start at 680, anchor: 11
Node 7, start at 980, anchor: 11
Node 8, start at 589, anchor: 19
Node 9, start at 255, anchor: 13
Node 10, start at 531, anchor: 19
Node 11, start at 551, anchor: 7
Node 12, start at 402, anchor: 19
Node 13, start at 497, anchor: 5
Node 14, start at 463, anchor: 13
Node 15, start at 531, anchor: 5
Node 16, start at 239, anchor: 5
Node 17, start at 868, anchor: 5
Node 18, start at 497, anchor: 3
Node 19, start at 191, anchor: 7
Node 20, start at 916, anchor: 5
Node 0, start at 822, anchor: 7
Node 1, start at 116, anchor: 7
Node 2, start at 444, anchor: 7
Node 3, start at 960, anchor: 7
Node 4, start at 158, anchor: 7
Node 5, start at 395, anchor: 7
Node 6, start at 680, anchor: 7
Node 7, start at 980, anchor: 7
Node 8, start at 589, anchor: 7
Node 9, start at 255, anchor: 7
Node 10, start at 531, anchor: 7
Node 11, start at 551, anchor: 7
Node 12, start at 402, anchor: 7
Node 13, start at 497, anchor: 7
Node 14, start at 463, anchor: 7
Node 15, start at 531, anchor: 7
Node 16, start at 239, anchor: 7
Node 17, start at 868, anchor: 7
Node 18, start at 497, anchor: 7
Node 19, start at 191, anchor: 7
Node 20, start at 916, anchor: 7
Node 0, start at 612, anchor: 7
Node 1, start at 676, anchor: 7
Node 2, start at 281, anchor: 5
Node 3, start at 94, anchor: 11
Node 4, start at 618, anchor: 7
Node 5, start at 996, anchor: 7
Node 6, start at 813, anchor: 7
Node 7, start at 738, anchor: 5
Node 8, start at 942, anchor: 19
Node 9, start at 336, anchor: 11
Node 10, start at 27, anchor: 19
Node 11, start at 785, anchor: 5
Node 12, start at 818, anchor: 5
Node 13, start at 563, anchor: 11
Node 14, start at 560, anchor: 13
Node 15, start at 89, anchor: 7
Node 16, start at 911, anchor: 19
Node 17, start at 934, anchor: 5
Node 18, start at 889, anchor: 19
Node 19, start at 786, anchor: 7
Node 20, start at 291, anchor: 5
Node 0, start at 612, anchor: 7
Node 1, start at 676, anchor: 7
Node 2, start at 281, anchor: 7
Node 3, start at 94, anchor: 7
Node 4, start at 618, anchor: 7
Node 5, start at 996, anchor: 7
Node 6, start at 813, anchor: 7
Node 7, start at 738, anchor: 7
Node 8, start at 942, anchor: 7
Node 9, start at 336, anchor: 7
Node 10, start at 27, anchor: 7
Node 11, start at 785, anchor: 7
Node 12, start at 818, anchor: 7
Node 13, start at 563, anchor: 7
Node 14, start at 560, anchor: 7
Node 15, start at 89, anchor: 7
Node 16, start at 911, anchor: 7
Node 17, start at 934, anchor: 7
Node 18, start at 889, anchor: 7
Node 19, start at 786, anchor: 7
Node 20, start at 291, anchor: 7
Node 0, start at 288, anchor: 5
Node 1, start at 540, anchor: 7
Node 2, start at 303, anchor: 7
Node 3, start at 335, anchor: 7
Node 4, start at 274, anchor: 5
Node 5, start at 419, anchor: 5
Node 6, start at 762, anchor: 7
Node 7, start at 193, anchor: 19
Node 8, start at 885, anchor: 3
Node 9, start at 316, anchor: 19
Node 10, start at 997, anchor: 11
Node 11, start at 311, anchor: 7
Node 12, start at 712, anchor: 5
Node 13, start at 959, anchor: 13
Node 14, start at 446, anchor: 5
Node 15, start at 300, anchor: 5
Node 16, start at 627, anchor: 3
Node 17, start at 62, anchor: 7
Node 18, start at 470, anchor: 19
Node 19, start at 522, anchor: 3
Node 20, start at 647, anchor: 3
Node 0, start at 288, anchor: 5
Node 1, start at 540, anchor: 5
Node 2, start at 303, anchor: 5
Node 3, start at 335, anchor: 5
Node 4, start at 274, anchor: 5
Node 5, start at 419, anchor: 5
Node 6, start at 762, anchor: 5
Node 7, start at 193, anchor: 5
Node 8, start at 885, anchor: 5
Node 9, start at 316, anchor: 5
Node 10, start at 997, anchor: 5
Node 11, start at 311, anchor: 5
Node 12, start at 712, anchor: 5
Node 13, start at 959, anchor: 5
Node 14, start at 446, anchor: 5
Node 15, start at 300, anchor: 5
Node 16, start at 627, anchor: 5
Node 17, start at 62, anchor: 5
Node 18, start at 470, anchor: 5
Node 19, start at 522, anchor: 5
Node 20, start at 647, anchor: 5
Node 0, start at 589, anchor: 5
Node 1, start at 545, anchor: 5
Node 2, start at 244, anchor: 19
Node 3, start at 733, anchor: 5
Node 4, start at 534, anchor: 5
Node 5, start at 660, anchor: 5
Node 6, start at 630, anchor: 5
Node 7, start at 878, anchor: 13
Node 8, start at 383, anchor: 5
Node 9, start at 647, anchor: 5
Node 10, start at 425, anchor: 7
Node 11, start at 581, anchor: 7
Node 12, start at 909, anchor: 13
Node 13, start at 263, anchor: 5
Node 14, start at 322, anchor: 3
Node 15, start at 803, anchor: 11
Node 16, start at 676, anchor: 11
Node 17, start at 581, anchor: 11
Node 18, start at 35, anchor: 7
Node 19, start at 782, anchor: 11
Node 20, start at 563, anchor: 3
Node 0, start at 589, anchor: 5
Node 1, start at 545, anchor: 5
Node 2, start at 244, anchor: 5
Node 3, start at 733, anchor: 5
Node 4, start at 534, anchor: 5
Node 5, start at 660, anchor: 5
Node 6, start at 630, anchor: 5
Node 7, start at 878, anchor: 5
Node 8, start at 383, anchor: 5
Node 9, start at 647, anchor: 5
Node 10, start at 425, anchor: 5
Node 11, start at 581, anchor: 5
Node 12, start at 909, anchor: 5
Node 13, start at 263, anchor: 5
Node 14, start at 322, anchor: 5
Node 15, start at 803, anchor: 5
Node 16, start at 676, anchor: 5
Node 17, start at 581, anchor: 5
Node 18, start at 35, anchor: 5
Node 19, start at 782, anchor: 5
Node 20, start at 563, anchor: 5
Node 0, start at 974, anchor: 11
Node 1, start at 909, anchor: 11
Node 2, start at 335, anchor: 11
Node 3, start at 447, anchor: 11
Node 4, start at 962, anchor: 11
Node 5, start at 606, anchor: 5
Node 6, start at 943, anchor: 3
Node 7, start at 562, anchor: 5
Node 8, start at 40, anchor: 19
Node 9, start at 298, anchor: 11
Node 10, start at 688, anchor: 7
Node 11, start at 707, anchor: 3
Node 12, start at 941, anchor: 5
Node 13, start at 592, anchor: 19
Node 14, start at 997, anchor: 11
Node 15, start at 904, anchor: 3
Node 16, start at 410, anchor: 7
Node 17, start at 123, anchor: 13
Node 18, start at 650, anchor: 5
Node 19, start at 274, anchor: 5
Node 20, start at 823, anchor: 5
Node 0, start at 974, anchor: 5
Node 1, start at 909, anchor: 5
Node 2, start at 335, anchor: 5
Node 3, start at 447, anchor: 5
Node 4, start at 962, anchor: 5
Node 5, start at 606, anchor: 5
Node 6, start at 943, anchor: 5
Node 7, start at 562, anchor: 5
Node 8, start at 40, anchor: 5
Node 9, start at 298, anchor: 5
Node 10, start at 688, anchor: 5
Node 11, start at 707, anchor: 5
Node 12, start at 941, anchor: 5
Node 13, start at 592, anchor: 5
Node 14, start at 997, anchor: 5
Node 15, start at 904, anchor: 5
Node 16, start at 410, anchor: 5
Node 17, start at 123, anchor: 5
Node 18, start at 650, anchor: 5
Node 19, start at 274, anchor: 5
Node 20, start at 823, anchor: 5
Node 0, start at 380, anchor: 5
Node 1, start at 451, anchor: 5
Node 2, start at 502, anchor: 7
Node 3, start at 270, anchor: 11
Node 4, start at 674, anchor: 7
Node 5, start at 404, anchor: 13
Node 6, start at 941, anchor: 3
Node 7, start at 815, anchor: 19
Node 8, start at 502, anchor: 5
Node 9, start at 830, anchor: 13
Node 10, start at 82, anchor: 7
Node 11, start at 450, anchor: 3
Node 12, start at 491, anchor: 7
Node 13, start at 544, anchor: 5
Node 14, start at 331, anchor: 19
Node 15, start at 802, anchor: 13
Node 16, start at 329, anchor: 13
Node 17, start at 912, anchor: 13
Node 18, start at 961, anchor: 5
Node 19, start at 640, anchor: 3
Node 20, start at 437, anchor: 7
Node 0, start at 380, anchor: 5
Node 1, start at 451, anchor: 5
Node 2, start at 502, anchor: 5
Node 3, start at 270, anchor: 5
Node 4, start at 674, anchor: 5
Node 5, start at 404, anchor: 5
Node 6, start at 941, anchor: 5
Node 7, start at 815, anchor: 5
Node 8, start at 502, anchor: 5
Node 9, start at 830, anchor: 5
Node 10, start at 82, anchor: 5
Node 11, start at 450, anchor: 5
Node 12, start at 491, anchor: 5
Node 13, start at 544, anchor: 5
Node 14, start at 331, anchor: 5
Node 15, start at 802, anchor: 5
Node 16, start at 329, anchor: 5
Node 17, start at 912, anchor: 5
Node 18, start at 961, anchor: 5
Node 19, start at 640, anchor: 5
Node 20, start at 437, anchor: 5
Node 0, start at 392, anchor: 3
Node 1, start at 535, anchor: 19
Node 2, start at 679, anchor: 13
Node 3, start at 69, anchor: 7
Node 4, start at 380, anchor: 5
Node 5, start at 629, anchor: 5
Node 6, start at 249, anchor: 19
Node 7, start at 368, anchor: 11
Node 8, start at 963, anchor: 3
Node 9, start at 803, anchor: 19
Node 10, start at 377, anchor: 11
Node 11, start at 999, anchor: 7
Node 12, start at 116, anchor: 5
Node 13, start at 214, anchor: 5
Node 14, start at 542, anchor: 3
Node 15, start at 213, anchor: 3
Node 16, start at 191, anchor: 7
Node 17, start at 151, anchor: 5
Node 18, start at 270, anchor: 19
Node 19, start at 807, anchor: 5
Node 20, start at 735, anchor: 7
Node 0, start at 392, anchor: 5
Node 1, start at 535, anchor: 5
Node 2, start at 679, anchor: 5
Node 3, start at 69, anchor: 5
