Node 571, start at 795, n: 2, c:11
Node 572, start at 982, n: 2, c:11
Node 573, start at 660, n: 3, c:11
Node 574, start at 260, n: 2, c:11
Node 575, start at 973, n: 2, c:11
Node 576, start at 505, n: 2, c:11
Node 577, start at 925, n: 2, c:11
Node 578, start at 906, n: 2, c:11
Node 579, start at 678, n: 53, c:11
Node 580, start at 597, n: 2, c:11
Node 581, start at 86, n: 53, c:11
Node 582, start at 617, n: 2, c:11
Node 583, start at 208, n: 2, c:11
Node 584, start at 115, n: 2, c:11
Node 585, start at 361, n: 53, c:11
Node 586, start at 962, n: 53, c:11
Node 587, start at 667, n: 5, c:11
Node 588, start at 932, n: 2, c:11
Node 589, start at 288, n: 3, c:11
Node 590, start at 30, n: 53, c:11
Node 591, start at 576, n: 2, c:11
Node 592, start at 543, n: 2, c:11
Node 593, start at 606, n: 3, c:11
Node 594, start at 593, n: 2, c:11
Node 595, start at 446, n: 2, c:11
Node 596, start at 643, n: 5, c:11
Node 597, start at 883, n: 3, c:11
Node 598, start at 184, n: 3, c:11
Node 599, start at 397, n: 3, c:11
Node 600, start at 738, n: 7, c:11
Node 601, start at 811, n: 2, c:11
Node 602, start at 938, n: 53, c:11
Node 603, start at 715, n: 7, c:11
Node 604, start at 241, n: 2, c:11
Node 605, start at 296, n: 53, c:11
Node 606, start at 936, n: 2, c:11
Node 607, start at 214, n: 7, c:11
Node 608, start at 32, n: 3, c:11
Node 609, start at 613, n: 5, c:11
Node 610, start at 777, n: 7, c:11
Node 611, start at 121, n: 3, c:11
Node 612, start at 613, n: 2, c:11
Node 613, start at 169, n: 7, c:11
Node 614, start at 461, n: 2, c:11
Node 615, start at 845, n: 2, c:11
Node 616, start at 871, n: 2, c:11
Node 617, start at 660, n: 2, c:11
Node 618, start at 214, n: 2, c:11
Node 619, start at 123, n: 53, c:11
Node 620, start at 762, n: 2, c:11
Node 621, start at 628, n: 2, c:11
Node 622, start at 584, n: 53, c:11
Node 623, start at 326, n: 53, c:11
Node 624, start at 814, n: 5, c:11
Node 625, start at 84, n: 2, c:11
Node 626, start at 263, n: 2, c:11
Node 627, start at 336, n: 2, c:11
Node 628, start at 806, n: 5, c:11
Node 629, start at 809, n: 53, c:11
Node 630, start at 712, n: 5, c:11
Node 631, start at 911, n: 2, c:11
Node 632, start at 537, n: 2, c:11
Node 633, start at 498, n: 2, c:11
Node 634, start at 519, n: 5, c:11
Node 635, start at 446, n: 2, c:11
Node 636, start at 977, n: 2, c:11
Node 637, start at 66, n: 2, c:11
Node 638, start at 426, n: 2, c:11
Node 639, start at 394, n: 2, c:11
Node 640, start at 830, n: 2, c:11
Node 641, start at 262, n: 5, c:11
Node 642, start at 223, n: 53, c:11
Node 643, start at 828, n: 53, c:11
Node 644, start at 889, n: 7, c:11
Node 645, start at 767, n: 2, c:11
Node 646, start at 364, n: 3, c:11
Node 647, start at 525, n: 2, c:11
Node 648, start at 864, n: 53, c:11
Node 649, start at 750, n: 2, c:11
Node 650, start at 735, n: 2, c:11
Node 651, start at 867, n: 5, c:11
Node 652, start at 2, n: 53, c:11
Node 653, start at 761, n: 2, c:11
Node 654, start at 72, n: 2, c:11
Node 655, start at 328, n: 2, c:11
Node 656, start at 922, n: 2, c:11
Node 657, start at 286, n: 5, c:11
Node 658, start at 994, n: 2, c:11
Node 659, start at 433, n: 2, c:11
Node 660, start at 161, n: 5, c:11
Node 661, start at 643, n: 3, c:11
Node 662, start at 682, n: 3, c:11
Node 663, start at 782, n: 5, c:11
Node 664, start at 875, n: 3, c:11
Node 665, start at 739, n: 7, c:11
Node 666, start at 853, n: 2, c:11
Node 667, start at 673, n: 7, c:11
Node 668, start at 322, n: 2, c:11
Node 669, start at 493, n: 2, c:11
Node 670, start at 970, n: 2, c:11
Node 671, start at 404, n: 2, c:11
Node 672, start at 767, n: 2, c:11
Node 673, start at 662, n: 5, c:11
Node 674, start at 747, n: 7, c:11
Node 675, start at 420, n: 53, c:11
Node 676, start at 292, n: 53, c:11
Node 677, start at 402, n: 2, c:11
Node 678, start at 562, n: 2, c:11
Node 679, start at 405, n: 2, c:11
Node 680, start at 697, n: 2, c:11
Node 681, start at 153, n: 53, c:11
Node 682, start at 758, n: 3, c:11
Node 683, start at 50, n: 5, c:11
Node 684, start at 788, n: 2, c:11
Node 685, start at 943, n: 2, c:11
Node 686, start at 730, n: 2, c:11
Node 687, start at 2, n: 2, c:11
Node 688, start at 205, n: 7, c:11
Node 689, start at 263, n: 2, c:11
Node 690, start at 551, n: 5, c:11
