Node 4, start at 828, n: 5, c:5
Node 5, start at 364, n: 5, c:5
Node 6, start at 669, n: 5, c:5
Node 7, start at 769, n: 5, c:5
Node 8, start at 282, n: 5, c:5
Node 9, start at 507, n: 5, c:5
Node 10, start at 826, n: 5, c:5
Node 11, start at 138, n: 5, c:5
Node 12, start at 747, n: 5, c:5
Node 13, start at 895, n: 5, c:5
Node 14, start at 662, n: 5, c:5
Node 15, start at 157, n: 5, c:5
Node 16, start at 783, n: 5, c:5
Node 17, start at 249, n: 5, c:5
Node 18, start at 184, n: 5, c:5
Node 19, start at 257, n: 5, c:5
Node 20, start at 3, n: 5, c:5
Node 0, start at 857, n: 3, c:3
Node 1, start at 574, n: 3, c:3
Node 2, start at 531, n: 3, c:3
Node 3, start at 954, n: 11, c:11
Node 4, start at 92, n: 7, c:7
Node 5, start at 205, n: 13, c:13
Node 6, start at 318, n: 7, c:7
Node 7, start at 40, n: 3, c:3
Node 8, start at 484, n: 7, c:7
Node 9, start at 356, n: 3, c:3
Node 10, start at 888, n: 5, c:5
Node 11, start at 327, n: 5, c:5
Node 12, start at 29, n: 3, c:3
Node 13, start at 518, n: 5, c:5
Node 14, start at 596, n: 3, c:3
Node 15, start at 878, n: 5, c:5
Node 16, start at 858, n: 5, c:5
Node 17, start at 696, n: 13, c:13
Node 18, start at 935, n: 5, c:5
Node 19, start at 113, n: 5, c:5
Node 20, start at 159, n: 7, c:7
Node 0, start at 857, n: 7, c:7
Node 1, start at 574, n: 7, c:7
Node 2, start at 531, n: 7, c:7
Node 3, start at 954, n: 7, c:7
Node 4, start at 92, n: 7, c:7
Node 5, start at 205, n: 7, c:7
Node 6, start at 318, n: 7, c:7
Node 7, start at 40, n: 7, c:7
Node 8, start at 484, n: 7, c:7
Node 9, start at 356, n: 7, c:7
Node 10, start at 888, n: 7, c:7
Node 11, start at 327, n: 7, c:7
Node 12, start at 29, n: 7, c:7
Node 13, start at 518, n: 7, c:7
Node 14, start at 596, n: 7, c:7
Node 15, start at 878, n: 7, c:7
Node 16, start at 858, n: 7, c:7
Node 17, start at 696, n: 7, c:7
Node 18, start at 935, n: 7, c:7
Node 19, start at 113, n: 7, c:7
Node 20, start at 159, n: 7, c:7
Node 0, start at 843, n: 11, c:11
Node 1, start at 741, n: 5, c:5
Node 2, start at 298, n: 3, c:3
Node 3, start at 144, n: 5, c:5
Node 4, start at 551, n: 11, c:11
Node 5, start at 292, n: 3, c:3
Node 6, start at 379, n: 7, c:7
Node 7, start at 521, n: 13, c:13
Node 8, start at 528, n: 3, c:3
Node 9, start at 620, n: 7, c:7
Node 10, start at 460, n: 7, c:7
Node 11, start at 221, n: 5, c:5
Node 12, start at 753, n: 3, c:3
Node 13, start at 139, n: 11, c:11
Node 14, start at 147, n: 3, c:3
Node 15, start at 252, n: 7, c:7
Node 16, start at 62, n: 7, c:7
Node 17, start at 448, n: 11, c:11
Node 18, start at 29, n: 7, c:7
Node 19, start at 795, n: 5, c:5
Node 20, start at 51, n: 3, c:3
Node 0, start at 843, n: 7, c:7
Node 1, start at 741, n: 7, c:7
Node 2, start at 298, n: 7, c:7
Node 3, start at 144, n: 7, c:7
Node 4, start at 551, n: 7, c:7
Node 5, start at 292, n: 7, c:7
Node 6, start at 379, n: 7, c:7
Node 7, start at 521, n: 7, c:7
Node 8, start at 528, n: 7, c:7
Node 9, start at 620, n: 7, c:7
Node 10, start at 460, n: 7, c:7
Node 11, start at 221, n: 7, c:7
Node 12, start at 753, n: 7, c:7
Node 13, start at 139, n: 7, c:7
Node 14, start at 147, n: 7, c:7
Node 15, start at 252, n: 7, c:7
Node 16, start at 62, n: 7, c:7
Node 17, start at 448, n: 7, c:7
Node 18, start at 29, n: 7, c:7
Node 19, start at 795, n: 7, c:7
Node 20, start at 51, n: 7, c:7
Node 0, start at 290, n: 3, c:3
Node 1, start at 978, n: 7, c:7
Node 2, start at 467, n: 5, c:5
Node 3, start at 597, n: 5, c:5
Node 4, start at 928, n: 3, c:3
Node 5, start at 268, n: 13, c:13
Node 6, start at 757, n: 7, c:7
Node 7, start at 208, n: 5, c:5
