Node 6, start at 43, c: 3
Node 7, start at 391, c: 3
Node 8, start at 124, c: 3
Node 9, start at 795, c: 3
Node 10, start at 648, c: 3
Node 11, start at 756, c: 3
Node 12, start at 473, c: 3
Node 13, start at 309, c: 3
Node 14, start at 184, c: 3
Node 15, start at 521, c: 3
Node 16, start at 594, c: 3
Node 17, start at 400, c: 3
Node 18, start at 409, c: 3
Node 19, start at 416, c: 3
Node 20, start at 986, c: 3
Node 0, start at 396, c: 19
Node 1, start at 917, c: 11
Node 2, start at 158, c: 19
Node 3, start at 615, c: 7
Node 4, start at 77, c: 5
Node 5, start at 888, c: 19
Node 6, start at 862, c: 5
Node 7, start at 185, c: 11
Node 8, start at 129, c: 11
Node 9, start at 674, c: 7
Node 10, start at 632, c: 5
Node 11, start at 629, c: 3
Node 12, start at 198, c: 13
Node 13, start at 935, c: 7
Node 14, start at 662, c: 13
Node 15, start at 652, c: 5
Node 16, start at 204, c: 13
Node 17, start at 442, c: 3
Node 18, start at 728, c: 7
Node 19, start at 380, c: 7
Node 20, start at 436, c: 11
Node 0, start at 396, c: 3
Node 1, start at 917, c: 3
Node 2, start at 158, c: 3
Node 3, start at 615, c: 3
Node 4, start at 77, c: 3
Node 5, start at 888, c: 3
Node 6, start at 862, c: 3
Node 7, start at 185, c: 3
Node 8, start at 129, c: 3
Node 9, start at 674, c: 3
Node 10, start at 632, c: 3
Node 11, start at 629, c: 3
Node 12, start at 198, c: 3
Node 13, start at 935, c: 3
Node 14, start at 662, c: 3
Node 15, start at 652, c: 3
Node 16, start at 204, c: 3
Node 17, start at 442, c: 3
Node 18, start at 728, c: 3
Node 19, start at 380, c: 3
Node 20, start at 436, c: 3
Node 0, start at 669, c: 19
Node 1, start at 616, c: 19
Node 2, start at 441, c: 7
Node 3, start at 22, c: 3
Node 4, start at 537, c: 5
Node 5, start at 346, c: 3
Node 6, start at 206, c: 13
Node 7, start at 75, c: 11
Node 8, start at 198, c: 5
Node 9, start at 295, c: 19
Node 10, start at 508, c: 5
Node 11, start at 843, c: 19
Node 12, start at 825, c: 19
Node 13, start at 913, c: 3
Node 14, start at 730, c: 5
Node 15, start at 188, c: 11
Node 16, start at 127, c: 5
Node 17, start at 221, c: 7
Node 18, start at 293, c: 5
Node 19, start at 101, c: 7
Node 20, start at 348, c: 7
Node 0, start at 669, c: 7
Node 1, start at 616, c: 7
Node 2, start at 441, c: 7
Node 3, start at 22, c: 7
Node 4, start at 537, c: 7
Node 5, start at 346, c: 7
Node 6, start at 206, c: 7
Node 7, start at 75, c: 7
Node 8, start at 198, c: 7
Node 9, start at 295, c: 7
Node 10, start at 508, c: 7
Node 11, start at 843, c: 7
Node 12, start at 825, c: 7
Node 13, start at 913, c: 7
Node 14, start at 730, c: 7
Node 15, start at 188, c: 7
Node 16, start at 127, c: 7
Node 17, start at 221, c: 7
Node 18, start at 293, c: 7
Node 19, start at 101, c: 7
Node 20, start at 348, c: 7
