Node 17, start at 205, n: 2, c:11
Node 18, start at 351, n: 2, c:11
Node 19, start at 968, n: 3, c:11
Node 20, start at 344, n: 7, c:11
Node 0, start at 327, n: 2, c:11
Node 1, start at 501, n: 2, c:11
Node 2, start at 592, n: 2, c:11
Node 3, start at 488, n: 2, c:11
Node 4, start at 349, n: 2, c:11
Node 5, start at 430, n: 2, c:11
Node 6, start at 612, n: 2, c:11
Node 7, start at 206, n: 2, c:11
Node 8, start at 163, n: 2, c:11
Node 9, start at 539, n: 2, c:11
Node 10, start at 145, n: 2, c:11
Node 11, start at 242, n: 2, c:11
Node 12, start at 784, n: 2, c:11
Node 13, start at 482, n: 2, c:11
Node 14, start at 422, n: 2, c:11
Node 15, start at 529, n: 2, c:11
Node 16, start at 227, n: 2, c:11
Node 17, start at 205, n: 2, c:11
Node 18, start at 351, n: 2, c:11
Node 19, start at 968, n: 2, c:11
Node 20, start at 344, n: 2, c:11
Node 0, start at 8, n: 2, c:11
Node 1, start at 39, n: 2, c:11
Node 2, start at 711, n: 3, c:11
Node 3, start at 769, n: 2, c:11
Node 4, start at 780, n: 3, c:11
Node 5, start at 2, n: 2, c:11
Node 6, start at 639, n: 3, c:11
Node 7, start at 315, n: 2, c:11
Node 8, start at 611, n: 2, c:11
Node 9, start at 767, n: 2, c:11
Node 10, start at 652, n: 7, c:11
Node 11, start at 193, n: 7, c:11
Node 12, start at 874, n: 3, c:11
Node 13, start at 836, n: 2, c:11
Node 14, start at 935, n: 5, c:11
Node 15, start at 611, n: 2, c:11
Node 16, start at 63, n: 2, c:11
Node 17, start at 247, n: 2, c:11
Node 18, start at 109, n: 2, c:11
Node 19, start at 417, n: 2, c:11
Node 20, start at 687, n: 2, c:11
Node 0, start at 8, n: 2, c:11
Node 1, start at 39, n: 2, c:11
Node 2, start at 711, n: 2, c:11
Node 3, start at 769, n: 2, c:11
Node 4, start at 780, n: 2, c:11
Node 5, start at 2, n: 2, c:11
Node 6, start at 639, n: 2, c:11
Node 7, start at 315, n: 2, c:11
Node 8, start at 611, n: 2, c:11
Node 9, start at 767, n: 2, c:11
Node 10, start at 652, n: 2, c:11
Node 11, start at 193, n: 2, c:11
Node 12, start at 874, n: 2, c:11
Node 13, start at 836, n: 2, c:11
Node 14, start at 935, n: 2, c:11
Node 15, start at 611, n: 2, c:11
Node 16, start at 63, n: 2, c:11
Node 17, start at 247, n: 2, c:11
Node 18, start at 109, n: 2, c:11
Node 19, start at 417, n: 2, c:11
Node 20, start at 687, n: 2, c:11
Node 0, start at 552, n: 2, c:11
Node 1, start at 731, n: 2, c:11
Node 2, start at 156, n: 2, c:11
Node 3, start at 886, n: 3, c:11
Node 4, start at 46, n: 3, c:11
Node 5, start at 685, n: 2, c:11
Node 6, start at 880, n: 2, c:11
Node 7, start at 722, n: 3, c:11
Node 8, start at 925, n: 2, c:11
Node 9, start at 126, n: 5, c:11
Node 10, start at 777, n: 2, c:11
Node 11, start at 635, n: 2, c:11
Node 12, start at 39, n: 2, c:11
Node 13, start at 5, n: 2, c:11
Node 14, start at 540, n: 2, c:11
Node 15, start at 122, n: 53, c:11
Node 16, start at 729, n: 2, c:11
Node 17, start at 745, n: 2, c:11
Node 18, start at 428, n: 2, c:11
Node 19, start at 588, n: 3, c:11
Node 20, start at 64, n: 5, c:11
Node 0, start at 552, n: 2, c:11
Node 1, start at 731, n: 2, c:11
Node 2, start at 156, n: 2, c:11
Node 3, start at 886, n: 2, c:11
Node 4, start at 46, n: 2, c:11
Node 5, start at 685, n: 2, c:11
Node 6, start at 880, n: 2, c:11
Node 7, start at 722, n: 2, c:11
Node 8, start at 925, n: 2, c:11
Node 9, start at 126, n: 2, c:11
Node 10, start at 777, n: 2, c:11
Node 11, start at 635, n: 2, c:11
Node 12, start at 39, n: 2, c:11
Node 13, start at 5, n: 2, c:11
Node 14, start at 540, n: 2, c:11
Node 15, start at 122, n: 2, c:11
Node 16, start at 729, n: 2, c:11
